mean_reward,mean_q,mean_r,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
24.291,"[11.234  0.654  5.652  1.78   0.633  0.635  0.631  0.628  1.271  0.63
  4.165  0.715  1.494  3.783  0.623  0.621  1.261  1.297  0.647  0.632
  7.025  2.596  1.394  0.699  0.682  1.181  3.619  1.469  0.691  1.734
  0.946  1.344  0.66   0.655  8.377 10.341  3.728  1.911  0.633  1.262
  0.641  0.625  9.904  1.175  1.847  3.163  1.272  0.634  0.631  2.835
  1.324  3.323  1.26   0.626  0.62   0.612  3.143  0.966  5.3    2.689
  2.015  0.677  0.684  6.908  1.337  1.981  1.314  1.288  0.659  0.667
  0.678  7.091  3.482  0.639  0.635  0.645  0.64   0.639  0.646  3.579
  1.158  2.122  3.689  5.708  1.758  5.314  2.38   1.299  0.652  0.658
  4.202  7.762  1.265  1.685  1.866  0.63   0.637  0.617 13.204  3.674
  0.647  0.646  1.949  0.656  1.322  0.665  0.662  9.496  4.07   0.727
  2.022  3.955  2.458  0.649  0.649  4.465  3.076  0.603  1.243  1.018
  0.635  4.985  6.306  3.886  1.286  1.279  0.638  2.311  6.721  1.016
  0.626  1.891  1.275  0.64   0.634 10.317  4.113  4.098  2.628  1.305
  0.651  3.353  4.721  1.395  1.349  0.679  0.685  7.981  4.427  1.161
  2.336  5.997  1.986  1.972  0.649  0.648  9.555  4.957  2.366  2.29
  0.634  1.249  0.622  1.255  1.184  0.625  3.562  2.718  0.65   2.259
  1.271  0.638  8.926  4.593  5.238  0.643  1.148  2.583  0.644  0.645
  0.647 12.167  0.709  2.542  3.769  1.127  1.271  0.632  0.633  5.767
  0.605  1.257  1.259  1.237  0.63   1.333  9.212  0.712  1.921  3.746
  4.186  1.818  0.621  0.633  6.042  1.325  2.309  1.633  0.632  4.411
 11.128  1.289  2.899  3.79   0.629  1.25   0.627  0.619  9.857  2.379
  2.675  2.379  1.712  0.644 12.329  5.12   2.488  1.736  0.623  1.188
  5.15   3.765  0.628  1.983  0.664  1.975  0.665  0.67   1.214  5.77
  0.736  4.397  1.295  2.912  1.239  0.613  0.615  6.892  0.717  5.146
  1.3    1.932  0.652  1.297  0.652  0.64   4.656  4.1    4.663  6.823
  2.322  0.658  3.091  1.787  1.279  0.638  4.292  6.267  5.081  1.273
  2.522  1.124  1.905  1.113  0.626  3.162  2.813  2.707  0.652  0.656
  0.668  0.669  7.631  2.483  0.621  0.631  1.931  0.641  0.642 10.89
  3.371  0.713  0.676  2.014  2.011  1.338  0.662  0.656  1.115 13.089
  3.239  2.669  1.319  3.309  0.649  0.653  1.323  0.658  0.661  8.144
  4.037  1.989  0.649  0.648  6.819  3.259  4.571  2.477  1.3    0.653
  0.647  8.75   8.539  1.953  1.313  0.661  0.649  0.663  0.647  0.658
 14.881  4.713  4.23   1.38   1.386  1.781  0.691  2.37   5.588  0.729
  5.156  0.954  2.393  1.283  1.755  1.004 10.278  2.822  4.874  3.183
  1.807  0.679  0.677  2.514  2.295  9.023  2.046  1.379  0.685  3.402
  0.674  1.342  0.659 10.32   4.326  3.279  1.304  3.294  1.88   0.632
  1.238  0.621  4.405  4.977  1.375  0.692  0.701  0.695  3.328  5.343
  3.607  1.853  0.618  0.617 10.076  1.234  2.444  2.334  2.987  1.82
  0.604  0.619  4.386  0.962  8.104  4.424  0.641  2.438  1.261  3.059
  1.296  0.649  6.935  5.988  2.966  2.87   0.675  0.663  8.234  5.525
  2.197  1.51   0.694  2.752  1.753  1.425  0.679 10.369  4.782  2.78
  1.341  1.355  1.344  0.67   0.669 10.171  2.461  1.134  3.14   1.264
  0.628  0.626  5.832  2.201  2.6    0.636  1.873  0.63   0.62   0.612
  4.13   8.039  0.653  5.432  1.648  0.647  1.365  0.647  0.911  0.646
  6.48   2.425  3.151  1.943  1.312  0.666  5.444  0.688  0.682  2.039
  0.673  1.36   0.679  3.273  4.63   3.292  2.778  0.693  1.363  0.68
 12.44   5.31   0.692  0.68   2.518  1.362  1.104  0.671 10.128  1.734
  0.67   4.052  1.964  0.658  1.306  0.66   1.097  2.194  3.06   2.846
  1.338  0.658  0.665  4.321  0.796  4.523  3.305  1.257  0.632  0.622
 12.03   2.671  1.917  2.509  1.253  0.636  0.625 11.82   5.754  1.236
  1.888  0.637  0.644  0.648  9.905  3.064  6.714  0.653  2.608  0.66
  2.505  0.656  0.658  0.652  4.81   3.594  2.763  0.699  0.694  1.785
  0.681  0.677  3.369  2.82   4.323  5.505  2.438  1.001  2.498  1.655
  0.652  0.65   4.357 10.229  4.467  2.326  2.008  0.672  0.67  14.612
  2.575  3.929  2.023  1.734  0.652  0.656  2.872  2.983  0.697  2.688
  1.3    0.65  11.194  3.159  3.272  3.194  0.639  1.259  0.632  1.131
  5.119  1.959  1.277  0.637  0.637  0.638 11.209  3.802  1.898  1.905
  1.267  0.635  0.647  2.119  1.102  1.7    0.698  1.872  0.614  1.265
  1.239  0.617 15.319  4.742  3.403  1.345  1.327  0.674  0.66   8.432
  3.678  2.373  3.775  3.298  1.306  0.647  0.645  7.999  4.782  5.738
  2.339  3.116  1.245  0.616  0.622  0.616 11.956  5.822  2.659  2.014
  1.913  0.665  6.82   2.079  1.339  0.664  0.67   1.014  3.033  7.869
  1.733  1.271  0.645  0.646  3.694  1.286  0.638  1.084  4.118  6.16
  2.388  5.818  1.36   2.009  0.672  1.003  0.673 11.884  1.262  2.465
  1.747  1.007  2.523  0.634  0.625  0.625 13.478  3.684  1.345  0.68
  2.723  1.892  0.682 15.588  3.893  0.691  1.389  2.924  1.371  0.678
  1.357  0.676  4.149  5.175  0.621  4.217  0.625  0.618  0.62   0.62
  1.279  0.649  3.204  5.279  5.312  1.307  5.765  2.596  0.652  1.306
  0.651  0.65   3.549  7.367  4.562  1.926  2.507  0.641  1.925  0.639
  0.641  3.355  7.832  8.886  2.565  1.288  1.908  0.636  0.629  0.637
  6.827  1.647  5.105  3.119  2.919  0.626  1.275  0.64   0.636  6.046
  6.386  3.673  0.682  1.867  0.743  2.808  1.343  0.66   0.66   7.697
  1.373  2.741  2.072  1.045  0.673  0.674  2.31   3.013  3.     6.779
  1.767  5.221  1.918  0.645  0.633  1.263  0.639  3.415  6.316  4.468
  1.326  0.658  1.774  1.78   1.103  1.152  8.533  6.095  5.552  1.822
  1.201  1.087  1.039  0.607  7.354  2.641  3.417  3.208  1.206  0.654
  0.654  3.647  1.872  2.291  0.625  0.627  0.623 10.496  4.391  6.3
  2.14   1.33   2.5    0.663  0.654  1.197  9.588  2.056  3.357  0.653
  1.287  1.293  0.658  2.145  7.387  1.247  4.244  0.635  1.869  0.638
  0.636]",[ 0.55101658  0.97531343  0.77145332 20.65451907],1748567450,,False,1,6df61_00027,2025-05-30_09-10-50,377.56425046920776,377.56425046920776,3688969,ubuntu-vGPU-01,10.11.27.88,377.56425046920776,1
25.973,"[14.41   1.551 10.373  3.193  1.049  3.073  2.484  1.125  1.55   1.051
  3.024 18.703 12.534  3.547  0.997  4.81   1.303  1.424 25.615 10.006
  4.65   2.222  1.051  6.373 15.134  8.045  3.574  2.103  3.518  3.216
  1.049 28.743 13.701  2.232  8.294  1.084  1.55   1.476  1.058  1.035
  1.104  1.083 28.592 17.651  6.138  3.671  2.086  1.583 15.348  2.919
  1.413  2.746 11.847  4.628  2.131  1.082  1.068 23.228  8.328 12.026
  3.296  5.735  1.098  1.07   2.147  1.092 16.222  4.153 11.431  6.804
  8.448  2.43   2.14   1.036 25.071 15.99  11.459  9.315  2.077  1.396
  1.027  1.058 30.573  2.981 10.019  2.039  9.885  8.003  1.128  1.041
 21.451 14.784 11.758  3.639  0.994  1.097  1.01   1.017 26.555 12.536
 14.1    3.192  2.12   2.088  1.419  1.123 15.469  3.184  2.92   2.764
  9.504  6.411  1.047  1.032  2.479 22.63  18.982 15.497  8.251  1.073
  1.073  1.679  1.147  3.473  1.046  3.347  9.841  3.891  2.237  2.183
  2.82   1.041  5.823  8.224  7.239  1.094  2.148  1.06  18.41  17.452
  2.77   8.898  2.053  2.601  1.504  1.024 15.29   7.408  2.81   2.332
  2.206  3.031  2.326 27.339  7.071  6.477  2.187  2.79   4.207  1.099
  3.429  3.3    9.806 22.677  1.111  7.4    3.19   1.051  2.073  2.851
  1.043  1.053  1.048 22.906  2.773  3.286 10.626  4.032  1.623  3.202
  1.038 12.465  6.035  2.418  9.299 12.363  2.129  2.65   3.049  1.378
  3.345  1.017  1.008 20.62   5.28   7.837  8.133  6.508  3.88   3.1
  3.238  4.115  1.027  1.054 15.801  1.106  2.407  1.973  0.974  0.969
 24.279  7.402 13.716  3.689  6.3    3.114  1.039  1.042  3.12  11.409
  3.111  4.467  8.017  2.554  1.039  1.403  1.023  1.546 19.746  2.799
 11.829 10.205  0.947  4.347  2.447  0.967  0.974  3.221  8.94  10.386
  4.985  1.001  2.152  0.972  0.973 10.333  3.851  3.053  3.911  0.987
  0.982 25.513  7.535 10.583  4.472  1.033  3.909  1.126  2.981 11.625
  6.449  9.421  3.978  3.952  0.989  1.011  2.995  0.987 11.391  6.524
  2.996  9.396  3.591  1.041  2.382  2.13   1.05  22.23  15.128  3.073
  4.12   1.02   2.07   1.016  3.121 11.807 12.026  4.025  4.676  3.138
  1.478  1.041  1.523  3.12  21.544  9.002  3.22   2.088  4.035  1.054
  1.048 17.829 21.768  9.845  4.398  2.008  1.559  1.499 14.786 15.295
  2.429  5.692  1.048  3.963  1.042  2.93   2.109  1.448  1.033 14.251
  6.357  0.964  0.98   2.202  6.857 11.88   7.993 22.264  6.661  1.536
  4.438  1.016  2.076  1.015  6.832  3.294 22.295 13.58   1.063  7.985
  2.09   4.328  1.036  2.423  1.028 19.979 11.485  7.17   3.372  2.115
  1.634 21.412 10.652  4.526  3.083  1.507  2.308 22.466  2.3   18.422
  4.937  2.131  5.749  1.037  4.471  2.099  1.074 17.778 12.551  6.422
  5.637  3.105  2.093  2.471  1.03  13.901  7.978  2.791  3.885  1.035
 14.639  9.287  5.554  2.074  1.566  1.544  2.943 22.927  9.991  4.335
  3.119  3.301  0.997  2.862 17.314 10.088  6.984  3.486  2.981  0.991
  2.483 13.834  1.912  4.112  4.207  0.959 18.806 21.969  9.338  1.044
  7.125  1.117  1.008 20.823 19.581  1.104  1.046  4.609  1.037  3.13
  1.021  2.195  4.051  1.03  22.745  7.416 10.754  4.548  1.012  0.981
  4.372  0.988  3.366 15.169  2.533  3.231  1.022  0.998 24.431  4.123
  2.017  1.438  5.492  2.013  0.989 24.28   1.022  1.543  1.023  5.184
  1.023  1.006  1.002  0.999  8.746  7.228 10.31   2.416  2.338  4.743
  1.01   1.012  9.576 15.732  7.552  3.232  1.059  2.945  3.463 22.473
 11.155  8.585  7.632  1.002  2.998  1.015  0.992 12.431  9.038  4.154
  1.314  2.353  0.957 22.424 10.714 10.096  6.675  4.637  4.253  2.996
  1.073 16.064  1.329  3.715  1.047  3.829  2.037  1.001  2.956  2.943
  1.334 20.31  14.038  1.045  1.488  1.028  3.853  3.087  4.794  1.612
 10.66   7.031  3.131  2.668  1.034  7.083  9.117  5.433  1.208  1.104
  1.76   9.032 23.23  12.788 10.315  4.74   1.014  2.912  2.89  23.067
 13.903  4.118  5.717  0.993  0.997  3.217 13.222 13.425  8.82   3.218
  9.426  1.127  2.446  1.061  1.444  1.049 17.041  2.29   5.01   2.792
  1.095 21.723  1.014  2.467  1.041  5.208  3.864  3.448  2.327 17.374
  1.39   3.431  6.117  2.466  0.989 28.436  1.247  5.719  6.741  2.066
  1.025  3.23   2.184 10.141  4.373  4.574  0.997  1.305  2.034  3.178
 18.253 11.806  8.658  0.972  1.967  1.062 23.706  4.397  5.437  5.263
  2.384  0.964  3.282 31.482 11.349  6.596  2.444  1.005  0.996 15.192
  9.095  8.842  2.305  1.152  3.061 11.734  4.786  4.293  8.009  6.886
  4.216  1.054 26.8    1.449 10.682  5.463  3.453  1.058  1.057  1.091
  9.236  9.507  2.523  8.928  2.012  4.707  4.177  0.904  1.005  0.906
 18.915 12.059  1.073  6.841  1.034  5.738  1.999  3.254  9.784  7.281
  8.369  3.94   1.991  0.984 15.922 20.847 10.582 10.05   6.251  1.985
  1.021  1.026 14.183  9.803  5.595  7.239  0.973  0.963  0.967  0.964
  3.598 12.141 11.623 16.591  2.493  2.042  4.339  1.099  1.021 10.958
  6.297  2.42   2.43   4.927  1.02   3.521  1.005  1.004  7.77   7.468
  5.593  1.385  2.737  1.028  6.983 30.698 10.667  5.446  2.068  1.026
  2.39   1.079  9.436  6.696 18.876 12.881  2.179  6.413  2.092  1.012
  3.333 10.387 13.45   2.335  3.066  0.999  0.994  1.006 24.721 16.525
  4.044  7.191  2.457  1.081  1.441  1.476 12.504 28.806  6.665  5.604
  4.209  1.059  2.119  4.546  1.385 18.986 24.658  5.588  1.016  1.983
  2.527  4.359  1.042  2.655  8.95   2.704  7.109 14.063  4.268  3.5
  1.045  1.035 20.039 12.248  1.463  7.235  0.995  2.002  1.015 12.563
  7.276  5.108  4.529  1.562  2.08   1.035  3.502 17.155  2.913  1.724
  4.85   2.139  1.059  1.056  5.641 13.302  2.499  7.789  1.072  1.04
  1.086  2.752 25.149  9.561  8.494  4.495  6.334  2.611  3.283  6.167
  8.183  4.319  6.895  2.02   1.51   1.008  0.992  0.99 ]",[ 0.57843469  0.98950797  0.75549815 22.13694276],1748567809,,False,2,6df61_00027,2025-05-30_09-16-49,358.4763264656067,736.0405769348145,3688969,ubuntu-vGPU-01,10.11.27.88,736.0405769348145,2
25.064,"[17.419 25.606  2.08   7.708  7.722  6.235  2.545  0.984 15.752  4.297
 28.171  3.142 17.563  9.533  1.95   0.983  0.967  0.953 30.937  5.494
  9.629  4.865  6.392  0.955  2.63   0.946 15.923  1.036  2.693  0.953
  1.009  1.865  0.932 34.071  5.08   4.842  3.035  1.029  0.969  4.332
  0.972  1.921  0.965 18.119 10.39  20.915  8.706  8.163  1.523  2.584
  0.967 29.601  5.375  1.014  9.287  5.501  0.918  5.253  0.902 30.279
 11.374  4.796  2.174 10.211  3.033  5.414  0.97   4.492  1.564 11.364
 13.757  3.877  5.581  8.613  4.667  0.899 16.066  3.597  2.018  0.954
  0.969  0.966 18.038 14.288  5.424  0.899  5.033  5.207  1.841  3.215
 23.171  3.069  5.469  9.041  6.832  1.018  0.907  4.035  0.92   4.036
 17.709  8.373  2.535  3.666  2.769  0.929  0.999  0.932  4.055 26.163
 11.897  4.692  9.119  5.162  0.921  1.72   6.786  3.816  7.825  2.277
  5.696  2.255  0.924  0.927  3.937 26.625  2.966  5.106  5.963  3.439
  0.982 17.028 10.111  2.337  0.908  2.669  5.525  1.377 25.866  2.692
 10.421  6.707  3.256  4.566  0.967 18.476  9.506  4.863  0.982  0.973
 15.582 13.792 10.708  2.072  7.14   2.298  0.947  1.068 14.878  3.667
  2.01   3.42   0.957  1.041  4.598  7.345  7.777  4.43   1.344  5.807
  4.447  3.822 21.073  3.037  2.93   4.55   0.943  1.002  0.947 12.628
  5.729  4.618  3.608  1.749  0.917  0.908 29.628  4.758  4.673  1.897
  1.038  4.219 29.741 12.332  4.032  4.358  1.056  0.983  1.492 38.066
 11.077  1.821  1.567  6.668  3.905  0.921  0.926  0.94  32.495 10.58
  7.33   2.926  0.979  0.973 14.136  1.844  9.663  3.308  6.096  0.941
  0.914 10.862  3.989  2.781  1.637  0.986  0.989  0.964  2.804  0.929
  0.931  0.915 23.733  5.293  5.613  4.151  0.947  3.532  0.954  0.935
  1.024  0.94  11.129 12.798  3.141 12.917  2.451  3.072  2.898  0.951
  0.966 32.149  4.751 16.238  5.147  5.141  3.723  1.921  2.545  0.955
 26.394 23.912  5.025  6.499  7.681  1.023  2.517  0.965  7.869 11.931
  6.894  1.003  0.979  0.972  0.965 11.488  1.781  7.616  0.996  2.612
  0.913  0.89   4.352  0.901 32.617 14.12  15.689  2.947  1.478  0.958
 10.738 12.597  0.99   4.035  3.946  1.645  0.904 21.964 18.625  9.824
  9.421  2.521  1.628  9.986  3.035 10.53   1.555  2.885  0.953  0.964
 13.005  8.365  6.435  9.045 10.672  9.639  6.189  5.018  0.934  5.199
  0.946  7.255 16.746  3.998  6.479  2.061  0.93  14.709  4.931  1.979
  0.958  0.944  0.943 20.939 15.973 10.489  6.032  0.935  4.345  1.795
  0.914 19.043  8.01   4.574  0.923  2.239  1.45   1.847  1.339  0.914
  0.916 41.328  8.501 12.91   0.993  1.406  3.353  0.964  0.961 22.243
 14.729  8.257  2.733  0.95   4.384  4.356  1.072 14.946  8.802 11.392
  8.645  3.243  8.064  1.879  4.377  0.933 42.505  5.513  7.697  0.966
  4.108  3.753  1.875  0.94  10.786 13.059  1.86   1.844  3.074  3.615
  0.995  1.455  9.784  1.508  2.875  9.207  1.814  1.564  3.693  1.444
 37.583  1.544  1.945  6.015  7.297  2.924  1.67   0.932  3.665  0.929
 10.585 16.52   3.508  3.729  3.691  1.864  0.906  0.915  3.683 23.203
 23.723  9.319  7.452  0.925  0.913  0.921  0.98  22.369 32.862  4.012
  3.533  6.987  3.258  1.029  3.951 29.64   2.169  3.08   6.012  4.893
  1.981  4.     0.949 38.577  0.961  7.485  1.83   0.919  6.083  1.879
  3.301  0.927 37.933  6.63  11.684  0.94   6.29   0.949  2.849  1.047
  1.564 21.995  3.917  4.7    6.787  1.499  0.916  1.27   0.915 26.455
  8.582  1.776  6.383  0.895  0.916 12.238  8.832  4.368  0.931  4.645
  0.926 42.17   2.99   5.962  2.864  1.862  0.913  4.457  1.028 26.525
 10.265  0.942  2.429  1.021  0.924  2.662  3.586  0.918 30.898 14.533
  6.478  1.948  1.585  0.947 17.409  5.693  1.865  0.935  2.994 18.087
 12.796  3.589  6.064  4.318  1.046  1.372  3.43  23.116  1.029  6.554
  3.434  1.     2.662  0.991  7.985 11.18   5.674  4.157  1.87   0.932
 18.356 15.101  4.722  4.683  2.922  1.887  0.94  39.28   7.773  3.876
  7.131  2.791  1.744  1.747 12.594 20.816 13.17   2.986 10.343  2.376
  5.268  1.88   0.953  0.939  3.333  7.775 15.147  9.6    1.657  2.658
  1.027  6.976  2.008  0.983  2.98  37.249  9.576  1.842  6.067  0.94
  0.934  0.938  3.959 18.742 13.608 12.601  2.82  11.63   1.787  0.89
  0.9    3.359 13.973 14.938  3.532  5.018  4.518  0.96   0.947 38.029
 11.198  4.91   3.971  0.924  3.816  0.93   1.869  4.311  7.715  8.499
  6.215  4.008  1.325  3.63   1.86   0.933 24.12   2.492  6.545  1.797
  2.778  1.529  4.421  0.918 27.149  8.198  1.852  1.903  2.506  5.248
  0.929  0.939 39.475  2.846  8.15   9.476  1.839  4.07   0.917  4.103
 13.558  8.334 14.543  3.788  0.945  4.053  2.825  0.949 15.633  3.358
  2.984  4.428  1.02   1.004  1.786  3.152  4.375 26.573 14.608  6.219
  8.984  0.897  5.294  0.914  0.956 27.115  4.269 10.058  1.849  1.001
  0.933  0.923 30.89  13.534  2.325  0.923  0.911  2.581  0.914 33.01
  7.248  9.683  9.247  2.606  1.86   0.936 30.551  7.528  7.529  1.612
  1.821  1.814  4.166 28.824  8.441  7.595  3.745  3.49   0.906  0.907
 24.564 14.874  1.81   3.351  4.643  0.926 12.059 17.379  8.041  5.235
  9.751  3.29   4.239  2.392  1.524  0.959 22.64  11.688  6.645 11.776
  5.389  1.875  1.896  3.518 21.465  0.973  0.989  2.461  1.738  2.609
  0.866  0.882 34.229  9.811  2.223  2.29   6.192  1.379  2.924  0.92
  9.852 10.63   6.185  1.964  0.979  3.936 19.831 10.726  5.232 10.509
  0.973  2.036  0.971 32.395 11.792  9.054  3.053  1.95   1.745  0.989
 13.317  1.403  8.102  0.929  1.465  3.253  0.939 31.879  3.208  5.961
  4.497  1.93   3.761  7.168 18.932 10.147  2.432  5.597  1.025  0.964
  0.966  0.967  4.043 15.194  1.382 13.935  0.963  0.967  1.955  0.988
  0.985]",[ 0.56954622  0.98221317  0.75503037 21.88427852],1748568173,,True,3,6df61_00027,2025-05-30_09-22-53,364.70065426826477,1100.7412312030792,3688969,ubuntu-vGPU-01,10.11.27.88,1100.7412312030792,3
