mean_reward,mean_q,mean_r,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
23.53,"[6.677 0.433 3.829 1.691 0.848 0.427 0.423 0.591 4.524 0.421 1.253 0.42
 0.857 0.435 0.432 0.425 3.825 1.854 0.93  0.458 0.454 0.667 0.589 0.563
 1.498 2.269 0.449 0.449 0.442 0.438 1.928 1.303 5.566 2.19  2.526 1.279
 1.274 0.423 0.421 2.506 1.478 2.998 1.658 0.412 0.849 0.427 0.842 0.42
 2.5   1.72  0.432 0.431 0.84  0.417 0.412 3.632 2.881 0.438 0.883 0.897
 0.454 0.453 1.258 4.322 1.311 1.304 0.436 0.444 0.45  4.875 0.432 1.283
 1.279 0.427 0.426 0.431 1.314 4.379 1.349 2.193 1.298 2.623 1.738 0.435
 0.859 0.432 5.529 2.861 1.242 0.415 0.421 0.425 0.415 3.928 1.467 1.44
 1.324 3.455 1.756 0.871 0.428 2.579 5.286 2.562 0.859 0.847 1.28  0.433
 0.433 1.77  0.462 2.491 1.253 0.422 0.428 6.127 3.043 0.432 0.426 0.428
 0.848 0.419 3.358 1.311 2.517 0.418 0.848 0.422 0.425 6.64  3.333 2.663
 1.305 0.432 0.434 1.913 2.403 0.463 0.923 0.895 0.448 0.455 7.618 4.063
 2.204 0.879 0.872 0.871 0.431 4.819 1.876 0.876 0.435 2.287 1.673 0.417
 0.838 0.422 0.425 0.42  2.629 2.169 0.418 0.411 0.851 0.426 6.622 2.184
 0.429 0.852 1.699 1.291 0.855 0.432 3.469 1.799 1.729 3.434 1.292 1.27
 0.422 0.424 1.897 2.15  0.836 1.245 0.408 0.416 4.286 2.759 3.769 1.89
 0.423 0.842 0.419 1.3   0.599 0.936 1.346 0.865 0.852 0.844 0.425 3.733
 2.853 5.119 1.682 0.42  0.423 0.423 0.834 0.417 0.418 2.39  3.463 1.278
 1.268 0.868 0.427 0.854 0.858 0.428 3.2   0.588 1.436 0.461 3.131 1.3
 2.094 0.417 0.419 0.83  0.415 2.542 1.391 2.187 1.319 1.31  0.44  0.442
 0.689 5.502 2.491 1.262 0.416 0.83  0.415 0.67  4.328 1.733 1.74  0.434
 1.29  0.43  0.87  0.43  6.535 4.004 1.301 0.433 2.814 0.43  0.431 0.852
 0.424 4.219 2.285 1.32  3.423 0.855 0.431 0.426 0.842 0.422 2.279 2.719
 1.558 0.445 0.443 4.644 2.085 0.419 0.425 0.431 0.433 0.43  0.43  3.704
 5.107 1.338 0.445 0.447 1.784 0.442 0.876 0.436 9.619 1.327 1.763 0.871
 0.437 0.44  0.874 0.44  0.441 0.441 0.439 3.908 3.133 0.903 0.883 0.435
 0.439 3.064 0.444 4.357 0.424 1.297 0.865 0.869 0.431 7.531 3.483 0.874
 0.437 0.44  0.867 0.434 0.433 0.677 8.31  1.417 2.34  2.756 0.457 0.458
 0.453 0.459 0.454 6.591 1.309 1.729 0.43  0.427 0.424 0.421 0.422 1.35
 6.673 1.853 2.265 0.448 0.455 0.45  0.453 0.446 0.452 8.011 0.915 3.108
 0.888 0.45  0.448 0.447 0.439 8.709 0.441 3.414 0.426 0.854 0.423 0.847
 0.42  0.835 0.417 0.746 1.84  0.503 2.345 0.911 0.458 0.464 0.462 2.39
 1.346 0.843 0.819 2.078 0.418 0.827 0.415 6.481 3.309 0.814 0.82  0.817
 0.409 0.409 0.415 3.092 0.572 1.495 1.389 5.266 1.017 2.148 0.867 0.43
 0.434 2.87  4.442 1.746 0.883 0.445 0.886 0.44  5.826 4.701 1.377 1.817
 0.451 0.449 0.448 6.644 0.458 2.646 2.682 0.894 0.892 0.445 4.776 0.444
 1.327 2.557 0.84  0.422 0.844 0.418 2.535 3.106 1.911 1.258 0.415 0.411
 6.643 2.988 2.153 1.287 0.427 0.431 0.701 1.87  2.245 0.867 2.144 0.866
 0.44  0.442 3.29  1.82  1.362 0.453 0.453 1.888 4.451 1.385 1.376 0.453
 0.453 4.568 1.605 1.368 0.914 3.174 0.447 1.338 0.897 0.446 4.164 1.914
 1.765 0.872 1.324 1.306 0.433 0.442 3.924 1.799 0.89  0.445 0.443 3.963
 3.119 0.857 0.846 0.424 0.418 3.945 5.354 0.429 1.281 1.266 0.843 0.422
 0.419 6.628 1.755 0.433 0.85  1.253 1.254 0.422 0.423 0.422 0.42  0.428
 3.109 0.588 5.303 4.141 1.75  1.306 0.435 0.433 4.724 2.291 0.923 0.457
 0.455 0.453 0.448 7.004 3.55  0.44  1.293 1.305 0.437 0.431 7.999 0.9
 0.879 2.191 0.889 0.441 0.89  0.447 1.313 6.084 3.024 2.164 0.875 0.87
 0.432 0.432 0.871 0.439 1.724 1.927 1.351 1.32  0.434 0.436 6.66  1.75
 2.431 0.432 1.709 0.423 0.851 0.419 4.012 1.722 0.859 0.43  1.839 1.641
 5.264 2.126 0.847 0.428 0.43  0.854 0.43  1.215 1.028 1.76  1.273 0.426
 0.416 0.419 0.417 6.632 4.989 1.342 0.447 1.339 0.448 0.443 0.445 0.443
 0.439 7.315 3.126 1.324 1.313 0.868 0.433 6.799 0.836 3.386 0.837 2.091
 1.255 0.415 0.417 6.192 2.314 0.888 1.328 1.776 0.889 0.445 0.445 0.443
 2.303 1.446 0.918 0.915 1.127 0.446 0.444 4.855 4.341 0.858 0.425 0.85
 1.394 0.855 0.427 0.64  2.883 3.355 1.805 1.348 0.903 0.448 0.896 0.449
 0.894 0.442 0.452 7.619 0.423 2.05  2.101 0.419 0.425 0.422 0.417 8.168
 1.775 2.267 1.354 0.904 0.453 6.238 2.813 0.463 3.201 0.451 1.066 1.393
 0.455 0.451 0.452 0.448 3.785 0.89  2.47  1.674 1.251 0.854 0.433 6.885
 1.49  1.748 1.309 2.194 0.864 0.43  0.872 0.434 0.431 1.428 1.139 5.606
 2.994 0.427 0.857 0.858 0.428 0.431 7.465 2.57  2.737 0.862 1.279 0.853
 0.426 0.421 3.7   1.428 2.144 0.856 2.54  0.418 1.049 0.424 0.424 0.426
 0.426 6.855 4.149 0.441 1.31  0.445 0.877 0.447 0.674 5.193 0.451 1.609
 0.462 0.91  0.449 0.449 3.057 5.884 1.325 3.041 1.281 0.847 0.849 0.427
 5.435 1.758 2.207 0.439 1.313 0.439 0.438 7.52  2.487 1.265 2.463 0.813
 0.405 0.408 0.408 1.325 6.703 1.318 2.96  1.27  0.841 0.836 0.83  0.419
 1.856 3.327 6.041 3.08  1.31  0.436 0.435 0.438 1.22  4.091 1.759 0.866
 1.732 0.861 0.432 0.434 0.432 2.35  2.297 1.285 0.844 0.426 0.849 1.274
 0.42  0.841 0.427 0.425]",[ 0.5746702   0.96819164  0.76107909 20.60651332],1748557456,,False,1,6df61_00018,2025-05-30_06-24-16,376.4861752986908,376.4861752986908,3641287,ubuntu-vGPU-01,10.11.27.88,376.4861752986908,1
24.935,"[14.338  8.695  3.886  1.924  1.939  0.945  0.959  0.957 16.363  6.542
  0.901  0.901  3.537  0.914  2.358  6.952  3.842  4.925 14.473  3.002
  2.151  3.496  0.967 14.694  6.759  2.884  0.988  1.699  0.947 11.28
  7.253  9.912 11.377  0.955  4.676  2.755  0.957  2.2   12.712  9.697
  7.294 10.147  4.039  0.921  3.289  0.914  0.948 13.817  1.139  5.401
  7.891  2.947  1.955  0.963  0.97   0.969  7.359 20.572  9.635  5.041
  1.914  0.969  1.908  0.964  4.717  4.617 17.678  2.095  6.98   2.146
  4.455  0.937  0.933 22.904 14.584  3.171  4.672  3.43   1.86   0.941
  1.133 23.283 11.976  6.267  2.264  2.437  0.963  2.522 14.895 13.157
  7.361  3.34   4.193  0.916  0.964  2.388 13.378  7.579  4.523  5.794
  9.651  2.08   1.917  0.953  2.228  3.125  0.95   4.564 15.927  7.517
  3.949  0.944  3.584  0.934 27.871  2.614  7.916  1.032  1.027  1.034
  0.982  3.559  2.295  1.917  2.552  2.523  3.928  2.684  1.178  5.562
  4.727  2.419  0.945 10.722  4.15   3.136  0.974  0.977 16.056  2.917
  5.365  5.566  5.602  2.793  1.195  0.932  0.929  9.017  7.771  5.444
  1.177  2.003  1.312  1.252 19.288  1.128  5.641  5.614  0.982  4.164
  0.998  1.04   3.615  0.998 13.74  10.511  6.774  1.915  1.819  4.07
  0.955  1.906  0.947 14.826 11.494  3.242  3.46   2.209  3.385  2.762
  0.922  0.919 18.1    4.856  2.241  2.443  9.269  1.846  2.733  1.223
  0.926 11.51  16.251  4.656  7.879  4.955  1.823  0.939 12.35   1.25
  0.949  1.861  0.893  2.334  2.494 10.263  2.477 21.655  4.025  4.536
  6.288  0.935  2.99   2.64   1.255  8.599  4.749  7.308  2.791  4.477
  0.949  8.992  5.047 13.422  3.379  4.562  2.566  1.727  1.749  0.87
 13.604  2.847  3.583  2.686  0.889  0.884 10.084  0.936  1.869  2.571
  1.989  0.893 15.623 12.243  5.037  5.438  3.699  0.971  0.945 16.901
  4.659  0.9    0.896  1.744  1.783  0.883  0.887  0.895  8.581  8.121
  4.506  3.12   1.93   0.96   0.981 14.792  9.31   1.892  2.094  6.601
  1.85   1.836  0.917  2.474  2.311  4.677 13.274  3.051  5.085  2.821
  1.896  0.954  0.957 11.77  11.22   7.869  3.788  0.925  1.887  0.941
 23.508  1.239  8.201  3.524  0.89   0.882  0.892 11.087  3.084  5.76
  0.967  5.555  2.865  4.075  2.158  1.877  0.934  0.932  9.349  2.085
  3.143  2.927  1.033  0.881 23.949 12.574  3.744  0.927  0.952  1.839
  0.92   1.787 13.73  20.002  4.796  4.17   2.831  3.523  1.883  0.941
 18.541  7.534  1.936  1.971  1.965  0.954  0.945  4.394  2.243  8.426
  5.338  6.492  4.03   2.221  2.192  0.961 26.128  6.737  8.729  1.926
  1.898  0.957  0.964 15.635  8.46   5.703  3.964  2.047  0.937 10.54
  3.144  3.18   0.929  2.52   0.921  6.592  6.565  7.235  4.665  1.23
  1.255  0.946  2.244 18.659  7.996  1.853  0.929  0.963  2.331  0.916
 11.129  4.275  3.551  7.235  1.163  8.126  3.607  0.904  1.793  1.155
  8.183  6.143  2.052  0.879  0.895  0.882 16.9    8.746  2.27   3.499
  4.777  4.289  0.984  0.98   0.923  8.236 18.486 12.286  0.939  4.704
  0.943  2.966  0.937 21.988  9.942  5.213  0.896  2.658  2.482  1.135
 10.248  2.146  5.511  2.31   0.923  0.903 18.243  6.28   3.63   0.908
  0.902  1.17   0.901 16.307  4.703  1.863  0.933  2.994  2.447  1.859
  0.907 13.94   6.552  0.916  0.96   1.813  2.48   2.466  7.126  3.973
  2.524  1.118  4.74   2.843  3.652  1.269  0.953 19.521 14.915  6.441
  3.631  3.273  1.878  0.896  9.489  1.661  5.306  3.435  2.954  0.881
  6.953  6.27   2.339 14.587  4.266  7.046  5.559  0.915  1.178  1.116
  2.351 11.33   4.064  4.929  2.042  2.891  0.909 11.435  8.473  3.291
  6.742  0.932  0.943  0.914  3.353  0.974  1.274  9.646  0.935  1.882
  1.853  0.931  0.963  2.015 11.567  0.95   5.427  1.185  3.971  1.005
  2.564 12.764 14.007  2.235  6.089  3.719  3.898  1.784  0.953  0.909
  4.788  4.711  3.857 17.609  3.916  3.044  2.731  3.504  0.927  4.592
 16.292  0.974  7.863  2.925  3.109  0.969  1.929  0.945  7.494  6.098
  3.499  3.493  1.994  1.014  0.995  6.067  3.996 10.56   4.525  2.054
  2.951  2.34   0.884  9.821  9.722  3.031  4.088  0.897  0.895  6.785
 19.342  7.384  3.99   1.858  0.933  0.927  6.489  1.708  4.293  4.904
  1.857  1.262  2.397 17.762  4.983  0.939  2.691  2.806  1.204  2.107
 15.317  9.08   0.925  2.822  1.769  0.898  0.879  0.876  0.889 15.891
  1.116 15.869  2.735  1.107  2.681  1.778  1.058  1.108  0.901 14.733
  2.173  2.059  1.03   2.247  1.049  1.323  1.032  1.069  8.885 11.355
  0.911  4.391  1.234  0.955  0.946 14.328  5.326  6.01   4.185  2.309
  5.672  1.808  0.908  0.914  2.228 17.304  1.86   2.631  1.719  3.317
  2.846  0.831 17.859  3.427  0.956  7.497  1.866  0.914  0.902  0.921
  1.227 13.563  3.917  2.718  4.409  0.903  0.902 17.884  2.241  4.673
  4.562  3.373  6.183  4.068  2.646  2.641  0.894 10.585  6.541  4.482
  3.378  1.897  2.758  1.748  2.425  7.529 15.102  9.291  3.021  2.828
  2.34   0.923  4.103  6.45   7.212  2.868  1.83   2.556  1.866  2.165
  5.861  1.795  5.343  1.221  3.972  0.959  1.873  0.947 27.712  2.445
  7.576  4.684  0.933  0.938  0.921 11.752 15.591  2.465  5.716  2.437
  1.161  2.848  2.057  0.929  0.912  6.203  9.07   4.552  3.59   1.829
  0.905  0.907  0.912 13.712  7.52   9.233  1.152  5.002  3.857  0.965
  2.032  1.004  0.976  0.976  1.005 23.945  9.427  8.297  4.056  0.962
  1.299  0.954 12.514 20.095  2.882  4.755  0.905  4.128  4.578  0.906
  0.939 13.864  3.079  4.316  5.888  2.822  0.995  0.952 15.251  7.662
  5.445  1.834  1.835  0.912  2.324 10.812  0.985  1.166  1.935  3.747
  0.935  3.176  0.962  8.675  7.377  2.096  4.27   3.272  0.973  0.962
  0.953  9.152  4.621  2.057  5.586  0.976  0.979  0.95   0.949  0.966
  2.513 18.631  0.924  8.616  6.332  1.845  0.917  0.918 10.931  7.097
  0.913  3.801  1.056  2.028  0.893]",[ 0.5615263   0.98567868  0.76125897 21.2812073 ],1748557814,,False,2,6df61_00018,2025-05-30_06-30-14,358.4985795021057,734.9847548007965,3641287,ubuntu-vGPU-01,10.11.27.88,734.9847548007965,2
25.064,"[18.35  19.906  1.252  3.432  5.993  5.827  1.941  6.89   3.58  32.222
  3.889 12.719  0.948  1.018  1.878  4.841  1.942  0.928 26.401  9.934
  3.7    0.977  5.765  0.923  0.989 12.775  2.31   0.995  5.447  0.967
  0.919  0.906  3.231  9.181 17.74   9.058  9.206  1.895  1.875  0.938
  0.933  1.312 32.571  7.102  2.9    8.81   4.815  1.34   1.907  0.977
 18.906 16.28   4.628  1.829  5.848  0.887  0.89  14.427 25.651  5.336
  6.079  4.92   1.84   1.524  1.    17.187  5.558  8.138  0.895  3.185
  4.366  0.875  9.315  9.365  5.188  3.603  0.96   0.943  1.402 15.963
 15.416  0.93   5.159  5.877  0.901  0.889  3.471 27.392  4.337  3.614
  3.646  2.735  0.89   2.695  3.671  1.248  6.729  7.889  6.302  9.371
  0.928  7.893  5.937  0.901  0.904 29.56   1.885  6.284  1.764  0.886
  1.769  0.88  13.936  0.911  3.299  2.102  0.903 17.684  4.096 10.241
  9.088  0.888  1.872  0.908  3.76   0.898 19.039  5.352  0.868  4.301
  0.869  0.878  0.881  7.289 21.764  7.079  6.473  3.996  0.926  0.942
 16.091  5.3    1.023  0.982  0.954  0.959 13.791  9.416  5.065  2.317
 13.764  2.749  0.917  0.915  0.966 12.923  4.374  5.81   2.356  0.974
 14.509  4.108  0.858  0.963  0.866  3.943 19.193  3.828  3.182  5.091
  1.893  0.915 11.043  3.74   3.721  6.565  3.302  4.676  0.889  0.885
  7.002 23.732  9.544  0.91   1.854  4.743  0.921 28.362  6.801  4.823
  4.832  0.959  0.961  0.958  3.831  0.957  6.685 23.757 12.429  5.963
  4.052  3.589  4.353  0.904  7.672 15.14  10.237  8.459  8.927  1.875
  1.895  0.93   3.978  8.434  5.741  1.796  0.906  4.654  0.888  9.564
  7.429  0.938  3.559  3.675  0.9    0.889  0.895 10.487 10.564  2.713
  2.189  2.042  6.271  6.239  0.917  0.906  1.226 20.15  12.009  2.041
  2.834  1.879  3.804  0.929  1.274  0.931 20.713 14.739  9.173  5.989
  4.079  2.827  0.93   0.924  0.93   0.931 32.301  3.379  0.982  4.864
  7.062  0.938  0.934  0.931  1.885  0.984 12.276  2.752  1.993  0.987
  1.956  0.952  0.948  0.991  3.774 14.031  2.288  1.803  1.734  3.523
  0.877 27.741 14.006  4.752  2.813  1.91   2.733  0.943 15.429  0.882
  2.073  0.896  3.379  0.892  6.219  3.268 12.666 15.639  2.767  9.871
  4.25   0.919  0.917 10.028  8.     1.865  4.103  0.931  0.987  7.743
 24.861  9.184  6.414  2.692  1.484  0.893  5.3    1.019  0.909 15.081
  9.478  4.13   0.975  0.957  0.973  1.351  0.916  9.539  6.478  1.264
  2.292  1.858  3.144  1.336  7.003 23.853  7.137  1.298  6.929  5.268
  1.77   4.261  0.899 15.55   1.329  8.702  3.685  2.963  0.9    0.957
  0.888 36.588 11.604  4.552  3.42   0.947  0.933  3.614 15.414 13.684
  8.047  0.929  0.961  0.923  1.526  0.916  0.937  3.738 22.349  2.748
  9.605  3.709  0.968  6.026  1.833  4.73   2.116  0.905 39.146  6.487
  5.618  1.825  3.79   0.916  0.92   0.919 16.174  3.127  1.344  4.582
  4.219  0.911  0.918 12.171  6.003  2.177  3.729  0.897 32.535  8.841
  4.561  4.551  0.908  3.793  0.896  0.901  6.32  17.781  8.358  2.358
  5.22   1.764  0.887 28.693 10.228 11.718  2.683  1.402  0.896  3.504
  0.896 19.749 23.343 15.642  2.751  0.909  2.246  3.522 12.44  16.755
  9.94  10.026  2.351  0.935  0.941  0.934  0.921 13.468 14.227 18.951
 10.032  3.753  1.312  0.91   0.901 17.807 10.421 22.841  0.976  4.048
  8.475  1.837  3.584  1.833  0.909 20.469  8.551  7.472  6.079  3.902
  0.907  8.93   2.548 17.922  3.864  2.364  2.078  0.883  0.899 14.226
  3.664  1.809  0.889  3.349 32.472  6.95   3.677  6.11   2.685  1.481
  1.767  1.788  0.92   3.579 19.491  9.08   8.37   5.075  0.907  0.904
  0.89  28.198  3.305  5.57   8.483  0.937  3.301  0.919  0.911  6.838
  4.246  8.768  4.742  2.862  0.907  0.911  3.891  3.245 13.586  5.503
  3.309  5.435  9.01   6.365  0.911  0.916  0.917  0.927  8.518  7.851
  9.352  3.274  3.923  7.118  0.963  0.956  2.461 15.688  0.969  2.272
  3.305  0.903  0.9   11.624 15.782  5.03   9.364  5.962  0.946  0.937
  0.975  0.927  0.925 32.865  3.753  6.063 14.556  2.37   2.466  0.932
  0.906  0.91   0.967 29.369  8.82   0.955  8.225  4.875  2.762  0.914
  0.906 12.667 15.755  4.719  2.367  2.28   3.687  1.01   0.96   0.963
  0.945  3.786 16.111  2.408  6.454  6.432 14.428  5.269  9.278  0.891
  6.516  0.909  0.899 10.873 23.374  7.007  4.529  1.296  4.716  4.618
  0.869  0.868 18.769  7.08   9.463  1.899  1.854  0.939  0.93   0.918
 29.992  5.653  6.247  4.877 15.241  1.277  2.413  0.899  6.943  1.459
 14.128  3.393  1.853  1.314  1.301  0.962 22.104  2.198  0.914  2.981
  6.61   1.756  1.51   3.029 25.045  6.377  3.291  4.853  0.891  0.901
  0.908  0.915 16.795 27.029  7.881  5.102  5.462  0.888  0.943 18.496
  5.353  3.126  6.755  4.63   2.15   0.913 17.146  4.839  0.959  0.964
  0.96   0.939 30.083  1.792  2.797  7.907  2.714  1.296  0.892 17.824
  6.798 11.823  1.806  1.84   0.898  0.896  0.893  3.256  3.243 24.686
 12.674  0.89   6.1    1.782  0.896  0.9    9.932 14.143 15.854  3.388
  3.228  3.244 11.532  2.741  0.912  0.899  2.927 28.767  0.936  3.801
  3.673  5.908  0.915  1.194  0.888  0.88   0.871 26.54   6.799 15.627
  6.996  0.883  1.765  0.922  0.922 18.7    1.293  8.053  1.844  5.026
  0.873  0.882  1.308  0.894 27.926  2.861 13.066  0.973  1.907  1.353
  3.783  0.932  0.973 10.099 13.548 10.836  9.935  1.873  6.169  1.824
  0.974  1.269  2.259  0.979 12.736  6.268  1.151  2.711  6.782  5.218
  3.52   0.86  31.779  6.315  5.749  4.299  4.931  0.899  2.73  13.653
  3.22   0.971  0.96   3.379  0.951  0.939 17.564  3.538  7.142  9.187
  4.915  0.96   0.999  0.948  1.899  0.942 22.98   9.159 10.018  1.971
  2.959  0.962  0.964  0.954  3.677  0.951 14.657  6.43   0.892  1.304
  0.909 17.983 15.453  2.438  1.032  3.016  1.909  1.971  1.954  1.009
  0.937 23.362  7.307  9.035  0.942  1.465  0.949  0.944  3.511 14.503
  4.366  3.445  4.863  0.974  1.254  1.917  1.017  0.994  0.954]",[ 0.5638284   0.98442127  0.75825233 21.96403891],1748558180,,True,3,6df61_00018,2025-05-30_06-36-20,365.7539608478546,1100.7387156486511,3641287,ubuntu-vGPU-01,10.11.27.88,1100.7387156486511,3
