variant,QMean,QStd,RewardMean,RewardStd
1xx,4.1968712425,1.422776694721006,24.472392503347816,8.04767617517748
0xx,4.4618458875,1.5459324270446824,24.482505816862112,8.162673063887686
x1x,3.6828238,1.0675437680666118,24.38628551552531,8.162122842200485
x0x,4.975893330000001,1.5727816987207288,24.568612804684616,8.047204707016897
xx1,4.509953125,1.586692991871406,24.3719475441515,8.065864605379074
xx0,4.148764005,1.3661928606968015,24.58295077605843,8.143337245487714
