,trial_id,mean_reward,config/lr,config/sync_every_rate,config/gamma
12,6df61_00012,25.661,2.9108686965232132e-05,0.03655355198855374,0.5078304471624056
34,6df61_00034,25.626,8.179894417463942e-05,0.008165402682338745,0.9821421994898216
1,6df61_00001,25.185,4.2414895223600055e-05,0.047392539242141,0.6109321283984275
29,6df61_00029,25.144,1.2120242740093562e-05,0.012914659177950878,0.9447406058039893
49,6df61_00049,25.083,7.023870138732367e-05,0.049695601801084004,0.8940433918386992
