mean_reward,mean_q,mean_r,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
18.224,"[1.115 0.088 0.176 0.265 0.088 0.353 0.353 0.088 0.088 0.088 0.471 0.176
 0.528 0.176 0.176 0.088 0.088 0.088 0.468 0.443 0.177 0.088 0.089 0.089
 0.467 0.442 0.266 0.089 0.089 1.381 0.176 0.616 0.088 0.264 0.351 0.088
 0.088 0.088 0.747 0.088 0.177 0.616 0.352 0.088 0.088 0.088 0.189 0.445
 0.264 0.176 0.176 0.088 0.286 0.269 0.088 0.352 0.088 0.265 0.088 0.088
 0.176 0.088 0.825 0.531 0.088 0.088 0.088 0.088 0.088 0.187 0.365 0.263
 0.352 0.176 0.264 0.088 0.088 1.199 0.177 0.441 0.265 0.265 0.441 0.177
 0.089 0.089 0.097 0.731 0.088 0.528 0.088 0.176 0.088 0.088 0.088 0.088
 0.088 0.088 1.112 0.794 0.441 0.088 0.176 0.088 0.932 0.177 0.441 0.531
 0.088 0.266 0.177 0.088 0.375 0.264 0.264 0.176 0.088 0.088 0.088 0.385
 0.45  0.709 0.354 0.177 0.089 0.089 0.196 0.192 0.704 0.088 0.265 0.176
 0.088 0.088 0.578 0.264 0.088 0.441 0.088 0.616 0.353 0.177 0.088 0.293
 0.265 0.354 0.088 0.177 0.089 0.088 1.112 0.794 0.618 0.265 0.177 0.089
 0.088 1.199 0.354 0.619 0.089 0.088 0.089 0.088 0.088 0.088 0.462 0.264
 0.352 0.176 0.088 0.585 0.526 0.351 0.616 0.352 0.088 0.088 0.088 1.013
 0.352 0.529 0.441 0.088 0.177 0.088 0.099 0.192 0.439 0.088 0.264 0.175
 0.088 0.759 0.088 0.793 0.264 0.265 0.088 0.088 0.088 0.175 0.088 0.194
 0.535 0.264 0.176 0.088 0.088 0.847 0.617 0.264 0.353 0.264 0.176 0.264
 0.176 0.088 0.088 0.833 0.442 0.177 0.441 0.177 0.088 0.088 1.109 0.264
 0.265 0.088 0.089 0.354 0.265 0.177 0.088 0.387 0.615 0.351 0.088 0.177
 0.088 0.088 0.831 0.176 0.615 0.351 0.088 0.088 0.088 0.921 0.265 0.264
 0.088 0.353 0.088 0.089 0.088 0.088 1.297 0.707 0.176 0.176 0.442 0.088
 0.088 0.088 0.088 0.665 0.088 0.089 0.618 0.088 0.088 0.265 0.177 0.176
 0.176 0.177 0.089 0.375 0.53  0.176 0.177 0.089 0.191 0.454 0.44  0.264
 0.088 0.088 0.088 0.088 0.088 1.022 0.885 0.265 0.265 0.177 0.089 0.389
 0.554 0.353 0.884 0.177 0.177 0.088 0.088 0.089 0.088 0.176 0.089 0.651
 0.265 0.355 0.177 0.177 0.089 0.089 0.835 0.353 0.177 0.353 0.265 0.088
 0.088 0.088 0.39  0.899 0.441 0.529 0.176 0.088 0.088 0.088 0.197 1.46
 0.62  0.177 0.088 0.089 0.088 0.089 0.088 0.089 0.089 0.088 0.837 0.354
 0.531 0.089 0.088 0.089 0.089 0.089 0.089 0.762 0.885 0.176 0.353 0.178
 0.088 0.088 0.089 0.088 1.288 0.531 0.265 0.177 0.177 0.089 0.088 0.089
 1.039 0.794 0.442 0.265 0.354 0.088 0.088 0.088 0.648 0.265 0.265 0.088
 0.088 0.558 0.351 0.439 0.175 0.087 0.088 0.088 1.098 0.44  0.264 0.352
 0.264 0.176 0.088 0.934 0.706 0.793 0.352 0.088 0.088 0.088 0.088 0.473
 0.175 0.616 0.088 0.352 0.088 0.176 0.088 0.089 0.088 0.935 0.088 0.708
 0.531 0.176 0.089 0.089 0.089 0.76  0.618 0.531 0.088 0.353 0.176 0.088
 0.088 0.476 0.88  0.441 0.176 0.088 0.088 0.088 0.918 0.441 0.176 0.088
 0.088 0.088 1.272 0.264 0.264 0.088 0.441 0.176 0.089 0.088 0.915 0.264
 0.088 0.088 0.088 0.176 0.088 0.088 0.377 0.089 0.178 0.354 0.088 0.089
 0.088 0.089 0.196 0.367 0.442 0.089 0.265 0.089 0.177 0.088 0.089 1.018
 0.351 0.441 0.353 0.265 0.177 0.088 0.928 0.708 0.265 0.177 0.089 0.088
 0.468 0.089 0.443 0.088 0.177 0.088 0.389 0.708 0.354 0.089 0.089 0.089
 0.088 0.657 0.972 0.177 0.089 0.353 0.088 0.177 0.088 0.089 1.196 0.176
 0.088 0.176 0.265 0.176 0.353 0.088 0.088 0.088 0.577 0.361 0.265 0.972
 0.089 0.442 0.177 0.177 0.088 0.649 0.443 0.355 0.089 0.089 0.089 0.089
 1.017 0.352 0.265 0.265 0.442 0.176 0.088 0.089 0.578 0.352 0.53  0.619
 0.088 0.088 0.088 0.088 0.088 0.088 0.088 1.643 0.619 0.265 0.354 0.176
 0.088 0.46  0.088 0.088 0.354 0.176 0.089 0.088 1.375 0.617 0.177 0.177
 0.177 0.088 0.088 0.372 0.264 0.088 0.088 0.176 0.177 0.088 0.089 0.923
 0.441 0.353 0.177 0.176 0.265 0.088 0.088 0.089 0.088 0.55  0.264 0.176
 0.175 0.088 0.088 0.758 1.235 0.442 0.265 0.265 0.089 0.088 0.478 0.271
 0.618 0.089 0.088 0.265 0.088 0.089 0.089 0.177 0.177 0.088 0.088 0.088
 1.642 0.351 0.528 0.176 0.088 0.176 0.088 0.088 0.393 0.547 0.532 0.355
 0.266 0.265 0.089 0.088 0.088 0.088 0.641 0.264 0.088 0.176 0.088 0.088
 0.745 0.087 0.44  0.088 0.441 0.088 0.353 0.088 0.176 0.088 0.088 1.28
 0.619 0.442 0.177 0.088 0.089 0.665 0.615 0.352 0.352 0.088 0.351 0.176
 0.088 1.38  0.618 0.352 0.177 0.088 0.088 0.482 0.633 0.618 0.089 0.442
 0.353 0.177 0.088 0.089 0.088 0.089 0.561 0.265 0.441 0.441 0.265 0.088
 0.088 0.088 0.576 1.153 0.704 0.353 0.088 0.176 0.088 0.099 0.566 0.973
 0.353 0.177 0.088 0.265 0.088 0.088 1.026 0.528 0.352 0.617 0.264 0.088
 0.088 0.088 0.088 0.475 1.063 0.088 0.352 0.088 0.264 0.088 0.088 0.088
 0.088 1.37  0.264 0.177 0.177 0.264 0.089 0.088 0.088 0.088 0.088 0.831
 0.441 0.088 0.264 0.088 0.088 0.292 1.177 0.176 0.618 0.266 0.177 0.177
 0.089 0.088 0.088 1.104 0.265 0.177 0.354 0.177 0.089 0.088 1.548 0.616
 0.529 0.088 0.088 0.088 0.088 0.088 0.293 0.096 0.461 1.145 0.618 0.264
 0.088 0.088 0.088 1.025 0.618 0.442 0.176 0.177 0.353 0.176 0.088 0.088
 1.095 0.352 0.088 0.264 0.177 0.088 0.088 0.088 0.474 0.087 0.175 0.528
 0.176 0.176 0.353 0.088 0.088 0.088]",[ 0.56152841  0.84906599  0.86649178 13.42776255],1748566340,,False,1,6df61_00026,2025-05-30_08-52-20,383.4309186935425,383.4309186935425,3681709,ubuntu-vGPU-01,10.11.27.88,383.4309186935425,1
24.308,"[0.655 0.799 0.796 0.341 0.228 0.113 1.535 0.676 0.339 0.113 0.113 0.113
 1.463 0.689 0.459 0.115 0.114 0.115 0.133 1.191 0.114 0.114 0.341 0.115
 0.114 0.114 0.114 0.908 1.255 1.025 0.228 0.113 0.341 0.114 0.114 1.017
 1.367 0.113 0.227 0.453 0.341 0.34  0.113 0.113 0.767 0.917 0.229 0.343
 0.343 0.114 0.115 0.114 1.832 1.026 0.228 0.455 0.114 0.228 0.114 0.114
 0.777 0.799 0.227 0.91  0.114 0.114 0.114 0.114 0.228 0.114 0.532 1.868
 0.568 0.115 0.228 0.113 0.228 0.114 0.114 0.113 0.114 1.72  1.133 0.339
 0.226 0.113 0.114 0.113 0.113 0.113 0.114 1.367 0.115 1.022 0.567 0.113
 0.113 0.113 0.113 1.706 1.024 0.227 0.569 0.113 0.228 0.114 0.113 1.214
 0.911 0.114 0.227 0.114 0.227 0.114 1.748 0.23  0.346 0.575 0.23  0.229
 0.23  0.344 0.115 0.115 0.629 0.573 0.228 0.114 0.114 0.114 0.38  0.113
 0.113 0.566 0.114 0.227 0.114 0.114 0.265 0.51  0.795 0.113 0.227 0.681
 0.454 0.227 0.113 0.114 0.385 1.046 0.458 0.229 0.114 0.115 1.466 0.229
 0.914 0.457 0.229 0.114 0.114 0.133 0.888 0.91  0.114 0.455 0.456 0.114
 0.114 0.114 0.114 0.114 1.696 0.795 0.342 0.113 0.227 0.227 0.114 0.525
 0.128 0.356 0.797 0.909 0.113 0.113 0.34  0.114 0.114 1.344 0.567 0.795
 0.113 0.227 0.453 0.227 0.227 0.113 0.854 0.455 0.114 0.114 0.113 0.114
 0.414 0.52  0.229 1.369 0.569 0.342 0.228 0.114 0.227 0.114 0.866 0.8
 0.113 0.228 0.114 0.114 0.114 1.115 1.234 0.112 0.672 0.449 0.224 0.112
 0.112 1.077 0.452 0.226 0.113 0.225 0.113 0.113 0.254 0.239 0.227 0.114
 0.452 0.113 0.113 0.113 0.112 1.816 0.797 0.455 0.113 0.114 0.113 0.114
 1.432 0.45  0.338 0.339 0.226 0.113 0.979 0.566 0.454 0.227 0.113 0.885
 1.364 0.569 0.341 0.114 0.114 0.113 0.528 0.921 0.68  0.113 0.226 0.113
 0.227 0.113 1.215 0.681 0.454 0.227 0.113 0.114 0.113 0.398 0.728 0.906
 0.564 0.225 0.338 0.113 0.113 0.113 1.805 0.796 0.227 0.34  0.114 0.114
 0.113 0.134 0.256 0.341 0.453 0.338 0.113 0.112 0.781 1.378 0.684 0.113
 0.227 0.341 0.34  0.113 0.114 1.615 0.344 0.343 0.114 0.114 0.683 0.228
 0.341 0.228 0.114 0.4   0.836 0.687 0.114 0.228 0.115 0.228 0.114 0.114
 0.114 1.326 0.793 0.452 0.227 0.113 1.383 1.254 0.571 0.341 0.114 0.227
 0.115 0.114 0.13  1.317 0.228 0.455 0.341 0.114 0.227 0.114 0.114 0.227
 0.113 0.114 0.265 0.81  0.228 0.227 0.114 0.113 0.637 0.568 0.114 0.341
 0.114 0.341 0.114 0.114 1.107 0.568 0.227 0.566 0.227 0.113 0.114 1.794
 0.113 0.789 0.226 0.338 0.113 0.113 0.725 0.113 0.337 0.337 0.113 0.112
 0.795 1.374 0.456 0.34  0.113 0.114 0.227 0.113 0.126 2.032 0.682 0.114
 0.567 0.34  0.114 0.114 1.802 0.338 0.677 0.339 0.226 0.113 0.135 0.379
 0.117 0.343 0.115 0.114 0.228 0.227 0.113 0.134 0.747 1.025 0.227 0.227
 0.341 0.113 0.114 0.765 0.455 0.338 0.454 0.113 0.34  0.228 0.114 0.114
 0.861 0.227 0.228 0.566 0.227 0.113 0.113 0.993 0.115 0.571 0.229 0.114
 0.114 0.114 0.114 0.531 0.491 0.682 0.68  0.567 0.113 0.453 0.114 0.226
 0.113 0.113 0.725 0.223 0.556 0.449 0.112 0.112 0.113 0.268 1.549 0.452
 0.68  0.226 0.34  0.226 0.113 0.113 0.113 1.198 0.455 0.227 0.113 0.114
 0.114 0.113 0.775 0.454 0.792 0.226 0.339 0.227 0.113 0.375 0.456 0.34
 0.114 0.227 0.113 0.113 0.399 0.458 0.113 0.344 0.114 0.115 0.114 0.115
 0.266 0.762 1.491 0.228 0.228 0.114 0.114 0.341 0.113 0.114 0.114 0.114
 0.113 1.009 0.685 0.797 0.568 0.113 0.227 0.113 1.796 0.455 0.114 0.227
 0.457 0.114 0.114 0.115 0.114 0.636 0.457 0.342 0.114 0.114 0.114 1.311
 0.45  0.113 0.112 0.225 0.112 0.112 0.112 0.113 0.112 0.112 0.963 0.567
 0.339 0.226 0.113 0.113 0.266 1.19  0.794 0.113 0.227 0.341 0.113 0.114
 0.114 0.114 0.113 0.503 0.341 0.113 0.227 0.113 0.227 0.113 0.114 1.443
 0.569 0.227 0.227 0.226 0.113 0.113 0.396 0.484 0.682 0.565 0.113 0.226
 0.113 0.225 0.113 1.453 0.113 1.017 0.565 0.452 0.226 0.113 0.113 0.529
 0.573 0.115 0.459 0.23  0.115 0.115 0.115 0.115 0.758 0.456 0.567 0.227
 0.227 0.113 0.136 0.874 0.227 1.018 0.34  0.227 0.113 0.226 0.114 0.113
 0.113 1.222 0.113 0.451 0.337 0.336 0.112 0.112 0.112 0.112 0.775 0.114
 0.909 0.453 0.113 0.339 0.113 0.113 0.405 0.8   0.113 0.564 0.226 0.113
 0.113 1.252 0.224 0.223 1.012 0.674 0.113 0.225 0.112 0.113 0.113 0.522
 1.023 0.112 0.225 0.561 0.113 0.225 0.112 0.798 0.459 0.801 0.454 0.228
 0.453 0.114 0.114 0.113 1.078 0.114 0.568 0.228 0.227 0.113 0.131 0.362
 0.227 0.567 0.227 0.113 0.113 0.791 0.588 1.144 0.228 0.114 0.228 0.227
 0.114 0.227 0.227 0.114 0.114 1.708 0.8   0.569 0.114 0.114 0.114 0.114
 1.083 0.227 0.452 0.339 0.113 0.113 0.516 0.259 1.272 0.343 0.457 0.685
 0.228 0.114 0.114 0.114 1.033 1.49  0.342 0.572 0.114 0.228 0.114 0.115
 0.114 1.942 1.133 0.227 0.454 0.226 0.113 0.88  0.114 0.573 0.684 0.114
 0.114 0.228 0.114 0.113 0.521 0.588 0.341 0.227 0.114 0.114 0.114 0.114
 0.34  0.227 0.113 0.113 0.391 0.586 0.343 0.228 0.114 0.341 0.227 0.114
 0.993 0.116 0.116 0.115 0.231 0.343 0.23  0.114 0.115 0.39  0.242 0.799
 0.456 0.227 0.114 0.114 0.78  1.13  0.452 0.451 0.227 0.113 0.227 0.113
 0.746 0.455 0.113 0.564 0.113 0.225 0.113]",[ 0.56102314  0.93662379  0.78952459 20.52112822],1748566704,,False,2,6df61_00026,2025-05-30_08-58-24,364.37849044799805,747.8094091415405,3681709,ubuntu-vGPU-01,10.11.27.88,747.8094091415405,2
24.001,"[1.828 1.547 0.562 0.421 0.14  0.28  0.141 0.14  0.504 0.782 0.991 0.421
 0.281 0.14  0.838 0.14  0.559 0.139 0.14  0.14  0.966 0.557 1.383 0.277
 0.139 0.277 0.416 0.139 0.139 1.04  0.139 0.416 0.278 0.138 0.138 0.98
 1.282 0.422 0.141 0.281 0.56  0.279 0.279 0.139 1.541 0.97  0.411 1.107
 0.277 0.277 0.278 0.139 0.514 1.172 0.694 0.553 0.414 0.138 0.138 0.172
 0.498 1.743 0.14  0.7   0.557 0.279 0.14  0.139 1.197 0.409 0.41  0.137
 0.137 0.275 0.137 0.138 0.337 0.434 0.417 0.139 0.417 0.279 0.139 1.231
 1.099 0.138 0.138 0.413 0.276 0.138 0.138 1.649 0.967 0.689 0.275 0.414
 0.138 0.138 1.366 0.698 0.278 0.278 0.553 0.139 0.138 0.138 0.16  0.155
 1.05  0.69  0.827 0.412 0.275 0.275 0.137 0.138 0.137 0.169 0.314 0.281
 0.276 0.554 0.139 0.139 0.138 0.138 0.48  0.873 0.83  0.689 0.415 0.138
 0.139 1.061 0.688 0.55  0.137 0.275 0.138 1.24  0.417 0.834 0.557 0.278
 0.139 0.139 0.523 0.86  0.283 0.141 0.28  0.14  1.388 0.978 0.14  0.139
 0.555 0.14  0.139 0.139 0.492 0.846 0.418 0.14  0.139 0.139 0.61  0.549
 0.41  0.275 0.137 0.137 1.221 0.281 0.695 0.278 0.277 0.138 0.641 0.275
 0.41  0.275 0.137 0.137 0.138 0.137 0.656 0.291 1.103 0.69  0.277 0.277
 0.139 0.139 0.968 0.429 1.27  0.14  0.702 0.421 0.28  0.14  2.527 0.275
 0.962 0.69  0.276 0.138 0.138 1.138 0.71  0.561 0.14  0.978 0.279 0.139
 0.279 0.139 0.649 0.698 0.277 0.138 0.276 0.137 0.625 0.414 0.275 0.273
 0.275 0.138 0.138 0.956 0.7   0.97  0.138 0.139 0.139 0.139 0.139 0.139
 0.139 0.336 1.466 0.28  0.699 0.14  0.279 0.279 0.14  0.163 1.101 1.256
 0.277 0.832 0.417 0.557 0.278 0.139 1.835 0.14  0.975 0.139 0.279 0.418
 0.418 0.139 0.418 0.139 0.139 1.197 0.563 0.28  0.14  0.172 1.034 0.551
 0.276 0.137 0.502 1.597 0.28  0.419 0.698 0.418 0.139 0.139 0.139 0.905
 0.689 0.276 0.138 0.138 1.662 0.97  0.831 0.416 0.277 0.139 1.04  0.277
 0.139 0.277 0.139 0.139 0.139 0.678 1.304 1.245 0.138 0.414 0.278 0.138
 0.138 0.929 0.833 0.414 0.277 0.277 0.138 0.151 0.871 0.279 0.418 0.139
 0.139 0.139 1.114 1.941 0.138 0.412 0.276 0.413 0.276 0.275 0.138 1.898
 0.137 0.138 0.553 0.138 0.415 0.138 0.138 0.504 1.64  0.14  0.704 0.699
 0.42  0.558 0.14  0.14  0.139 0.98  0.976 0.276 0.693 0.416 0.139 0.139
 0.329 1.317 1.101 0.414 0.553 0.278 0.139 0.139 2.592 0.14  1.249 0.139
 0.139 0.416 0.277 0.138 0.159 0.764 0.554 0.413 0.552 0.276 0.139 0.88
 0.137 0.276 0.274 0.275 0.138 0.138 0.166 1.246 0.558 0.415 0.691 0.138
 0.555 0.138 0.554 0.138 0.138 0.138 0.138 0.646 1.263 0.686 0.137 0.276
 0.276 0.138 0.138 0.315 1.334 0.551 0.968 0.55  0.689 0.276 0.138 0.138
 0.66  0.902 0.559 0.416 1.107 0.415 0.553 0.138 0.138 0.139 0.33  2.038
 0.973 0.557 0.278 0.139 1.273 0.557 0.961 0.137 0.412 0.413 0.414 0.414
 0.139 0.138 0.138 1.85  0.697 1.246 0.554 0.277 0.277 0.138 0.315 1.026
 0.416 0.414 0.277 0.415 0.415 0.138 0.138 1.466 0.136 0.137 0.548 0.136
 0.273 0.41  0.274 0.137 0.9   0.689 0.276 0.138 0.138 1.16  1.543 0.416
 0.276 0.692 0.138 0.413 0.275 0.138 0.495 1.434 0.691 0.277 0.416 0.139
 0.139 0.335 1.764 0.139 1.114 0.139 0.139 0.418 0.139 0.139 1.181 0.415
 0.138 0.138 0.139 0.139 0.173 1.765 0.694 0.139 0.138 0.416 0.139 0.139
 0.63  1.564 0.28  0.421 0.14  0.281 0.141 0.14  0.645 0.282 0.554 0.139
 0.277 0.139 0.139 2.195 0.697 0.139 0.278 0.279 0.279 0.14  0.139 0.139
 1.155 0.144 0.572 0.702 0.28  0.976 0.695 0.139 0.278 0.138 0.988 1.137
 1.533 0.556 0.418 0.278 0.139 1.637 0.138 0.416 0.558 0.418 0.139 0.139
 0.139 0.328 0.621 1.27  1.377 0.276 0.552 0.138 0.138 0.138 0.138 1.108
 0.276 0.965 0.274 0.276 0.137 0.138 0.549 0.137 0.275 0.137 0.168 0.163
 0.16  1.282 0.558 0.698 0.139 0.139 0.139 0.139 1.285 1.249 0.551 0.414
 0.833 0.277 0.139 0.138 0.139 0.623 0.556 0.276 0.276 0.275 0.138 1.081
 0.826 0.548 0.137 0.137 0.137 0.275 0.138 0.138 0.138 1.637 0.963 0.275
 0.276 0.276 0.139 0.672 0.752 0.421 1.669 0.693 0.277 0.277 0.139 0.139
 0.33  1.45  0.277 0.694 0.416 0.138 0.139 0.139 0.511 0.713 0.282 0.141
 0.14  0.279 0.14  1.246 0.962 1.095 0.137 0.136 0.274 0.137 0.137 0.137
 0.802 1.1   0.275 0.137 0.414 0.138 0.414 0.139 0.138 1.642 0.687 0.962
 0.414 0.138 0.276 0.138 0.17  2.355 0.417 0.553 0.554 0.416 0.138 0.138
 0.138 0.138 1.086 0.555 0.138 0.138 1.094 0.137 0.274 0.137 0.412 0.138
 0.137 0.163 0.482 0.32  0.705 0.552 0.962 0.138 0.551 0.138 0.138 0.138
 0.334 1.315 0.138 0.414 0.275 0.412 0.412 0.138 0.138 0.163 0.947 1.387
 0.967 0.415 0.277 0.139 0.649 0.16  0.995 0.694 0.415 0.139 0.553 0.139
 0.138 0.138 0.138 0.138 0.645 0.552 0.413 0.545 0.41  0.137 0.137 0.791
 1.143 0.138 0.693 0.277 0.552 0.414 0.414 0.276 0.138 0.138 0.769 0.701
 0.14  0.14  0.28  0.14  0.5   1.021 1.123 0.14  0.28  0.281 0.139 0.14
 2.263 0.561 0.42  0.28  0.28  0.14  0.28  0.14  1.182 0.556 0.278 0.139
 2.104 0.844 0.141 0.56  0.279 0.14  0.139 0.14  1.363 0.419 0.977 0.418
 0.14  0.139 0.139 0.798 0.282 0.418 0.419 0.42  0.28  0.141 0.14 ]",[ 0.57792424  0.94661126  0.76778883 21.00348451],1748567067,,True,3,6df61_00026,2025-05-30_09-04-27,362.61281156539917,1110.4222207069397,3681709,ubuntu-vGPU-01,10.11.27.88,1110.4222207069397,3
